max_mag,min_mag,number,type
15.0,14.0,11,G0
15.0,14.0,2,G1
15.0,14.0,1,G2
15.0,14.0,3,G3
15.0,14.0,4,G4
15.0,14.0,5,G5
15.0,14.0,5,G6
15.0,14.0,0,G7
15.0,14.0,5,G8
15.0,14.0,0,G9
15.0,14.0,0,F0
15.0,14.0,0,F1
15.0,14.0,0,F2
15.0,14.0,0,F3
15.0,14.0,0,F4
15.0,14.0,1,F5
15.0,14.0,2,F6
15.0,14.0,5,F7
15.0,14.0,5,F8
15.0,14.0,1,F9
15.0,14.0,3,K0
15.0,14.0,3,K1
15.0,14.0,2,K2
15.0,14.0,2,K3
15.0,14.0,1,K4
15.0,14.0,2,K5
15.0,14.0,0,K6
15.0,14.0,0,K7
15.0,14.0,0,K8
15.0,14.0,0,K9
15.0,14.0,0,M0
15.0,14.0,0,M1
15.0,14.0,0,M2
15.0,14.0,0,M3
15.0,14.0,0,M4
15.0,14.0,0,M5
15.0,14.0,0,M6
15.0,14.0,0,M7
15.0,14.0,0,M8
15.0,14.0,0,M9
16.0,15.0,6,G0
16.0,15.0,4,G1
16.0,15.0,2,G2
16.0,15.0,4,G3
16.0,15.0,3,G4
16.0,15.0,4,G5
16.0,15.0,4,G6
16.0,15.0,1,G7
16.0,15.0,5,G8
16.0,15.0,0,G9
16.0,15.0,0,F0
16.0,15.0,0,F1
16.0,15.0,0,F2
16.0,15.0,0,F3
16.0,15.0,0,F4
16.0,15.0,2,F5
16.0,15.0,2,F6
16.0,15.0,9,F7
16.0,15.0,6,F8
16.0,15.0,2,F9
16.0,15.0,5,K0
16.0,15.0,5,K1
16.0,15.0,4,K2
16.0,15.0,7,K3
16.0,15.0,2,K4
16.0,15.0,6,K5
16.0,15.0,0,K6
16.0,15.0,2,K7
16.0,15.0,0,K8
16.0,15.0,0,K9
16.0,15.0,0,M0
16.0,15.0,0,M1
16.0,15.0,0,M2
16.0,15.0,0,M3
16.0,15.0,0,M4
16.0,15.0,0,M5
16.0,15.0,0,M6
16.0,15.0,0,M7
16.0,15.0,0,M8
16.0,15.0,0,M9
17.0,16.0,5,G0
17.0,16.0,5,G1
17.0,16.0,4,G2
17.0,16.0,2,G3
17.0,16.0,4,G4
17.0,16.0,3,G5
17.0,16.0,3,G6
17.0,16.0,2,G7
17.0,16.0,3,G8
17.0,16.0,1,G9
17.0,16.0,0,F0
17.0,16.0,0,F1
17.0,16.0,0,F2
17.0,16.0,0,F3
17.0,16.0,0,F4
17.0,16.0,2,F5
17.0,16.0,2,F6
17.0,16.0,11,F7
17.0,16.0,9,F8
17.0,16.0,4,F9
17.0,16.0,5,K0
17.0,16.0,6,K1
17.0,16.0,8,K2
17.0,16.0,12,K3
17.0,16.0,4,K4
17.0,16.0,12,K5
17.0,16.0,0,K6
17.0,16.0,6,K7
17.0,16.0,0,K8
17.0,16.0,2,K9
17.0,16.0,4,M0
17.0,16.0,2,M1
17.0,16.0,1,M2
17.0,16.0,0,M3
17.0,16.0,0,M4
17.0,16.0,0,M5
17.0,16.0,0,M6
17.0,16.0,0,M7
17.0,16.0,0,M8
17.0,16.0,0,M9
18.0,17.0,6,G0
18.0,17.0,6,G1
18.0,17.0,6,G2
18.0,17.0,0,G3
18.0,17.0,6,G4
18.0,17.0,5,G5
18.0,17.0,1,G6
18.0,17.0,4,G7
18.0,17.0,1,G8
18.0,17.0,3,G9
18.0,17.0,0,F0
18.0,17.0,0,F1
18.0,17.0,0,F2
18.0,17.0,0,F3
18.0,17.0,2,F4
18.0,17.0,2,F5
18.0,17.0,2,F6
18.0,17.0,7,F7
18.0,17.0,9,F8
18.0,17.0,5,F9
18.0,17.0,1,K0
18.0,17.0,4,K1
18.0,17.0,7,K2
18.0,17.0,7,K3
18.0,17.0,7,K4
18.0,17.0,19,K5
18.0,17.0,1,K6
18.0,17.0,13,K7
18.0,17.0,1,K8
18.0,17.0,5,K9
18.0,17.0,10,M0
18.0,17.0,5,M1
18.0,17.0,3,M2
18.0,17.0,6,M3
18.0,17.0,0,M4
18.0,17.0,0,M5
18.0,17.0,0,M6
18.0,17.0,0,M7
18.0,17.0,0,M8
18.0,17.0,0,M9
19.0,18.0,5,G0
19.0,18.0,6,G1
19.0,18.0,7,G2
19.0,18.0,2,G3
19.0,18.0,7,G4
19.0,18.0,5,G5
19.0,18.0,0,G6
19.0,18.0,6,G7
19.0,18.0,0,G8
19.0,18.0,5,G9
19.0,18.0,0,F0
19.0,18.0,0,F1
19.0,18.0,0,F2
19.0,18.0,2,F3
19.0,18.0,5,F4
19.0,18.0,4,F5
19.0,18.0,3,F6
19.0,18.0,2,F7
19.0,18.0,5,F8
19.0,18.0,3,F9
19.0,18.0,0,K0
19.0,18.0,5,K1
19.0,18.0,10,K2
19.0,18.0,5,K3
19.0,18.0,4,K4
