type,wavelength,num,aa,filtNum,des_u,des_g,des_r,des_i,des_z,gaia_G,gaia_BP,gaia_RP,gaia_RVS,up,gp,rp,ip,zp,U,B,V,R,I,mean.method
G0,A,59.0,118.0,19,1.6034,0.3481,-0.0812,-0.2048,-0.218,0.0898,0.2969,-0.181,-0.2015,1.247,0.2825,-0.0601,-0.1991,-0.2176,1.5594,0.5086,0.072,-0.089,-0.2105,0
G1,A,61.5,123.0,19,1.6649,0.3729,-0.09415,-0.22445,-0.252,0.0891,0.3103,-0.20215,-0.22345,1.3062,0.30425,-0.07135,-0.2182,-0.2459,1.61995,0.5427,0.07605,-0.1018,-0.23055,1
G2,A,64.0,128.0,19,1.7264,0.3977,-0.1071,-0.2441,-0.286,0.0884,0.3237,-0.2233,-0.2454,1.3654,0.326,-0.0826,-0.2373,-0.2742,1.6805,0.5768,0.0801,-0.1146,-0.2506,0
G3,A,66.3,132.6,19,1.7805,0.409,-0.1084667,-0.2488667,-0.2952667,0.0903,0.3313667,-0.2280667,-0.2544667,1.4079333,0.3347,-0.0837,-0.2418,-0.2821667,1.7328,0.5946667,0.0813,-0.1163333,-0.2549333,1
G4,A,68.6,137.3,19,1.8346,0.4203,-0.109833,-0.25363,-0.3045333,0.0922,0.3390333,-0.2328333,-0.2635333,1.4504667,0.3434,-0.0848,-0.2463,-0.2901333,1.7851,0.6125333,0.0825,-0.1180667,-0.2592667,1
G5,A,71.0,142.0,19,1.8887,0.4316,-0.1112,-0.2584,-0.3138,0.0941,0.3467,-0.2376,-0.2726,1.493,0.3521,-0.0859,-0.2508,-0.2981,1.8374,0.6304,0.0837,-0.1198,-0.2636,0
G6,A,73.3,146.7,19,1.9422,0.45036667,-0.12346667,-0.278133,-0.327,0.0912,0.35606667,-0.25596667,-0.29343333,1.55276667,0.36713333,-0.0963,-0.269933,-0.3169,1.88976667,0.6559,0.08876667,-0.132,-0.28433333,1
G7,A,75.7,151.3,19,1.9957,0.469133,-0.135733,-0.29786667,-0.3402,0.0883,0.36543333,-0.27433333,-0.31426667,1.61253333,0.38216667,-0.1067,-0.28906667,-0.3357,1.94213333,0.6814,0.09383333,-0.1442,-0.30506667,1
G8,A,78.0,156.0,19,2.0492,0.4879,-0.148,-0.3176,-0.3534,0.0854,0.3748,-0.2927,-0.3351,1.6723,0.3972,-0.1171,-0.3082,-0.3545,1.9945,0.7069,0.0989,-0.1564,-0.3258,0
G9,A,78.0,156.0,19,2.0492,0.4879,-0.148,-0.3176,-0.3534,0.0854,0.3748,-0.2927,-0.3351,1.6723,0.3972,-0.1171,-0.3082,-0.3545,1.9945,0.7069,0.0989,-0.1564,-0.3258,1
F0,A,40.0,80.0,19,1.2061,0.1592,0.0369,0.0659,0.1547,0.1161,0.1925,0.0737,0.134,0.8525,0.1283,0.0397,0.0596,0.1356,1.2513,0.2364,0.0561,0.0397,0.0659,0
F1,A,41.5,83.0,19,1.2335,0.193,0.02305,0.0288,0.0796,0.11625,0.2115,0.03515,0.07285,0.89205,0.1561,0.02785,0.0248,0.0684,1.26275,0.2833,0.05835,0.02425,0.029,1
F2,A,43.0,86.0,19,1.2609,0.2268,0.0092,-0.0083,0.0045,0.1164,0.2305,-0.0034,0.0117,0.9316,0.1839,0.016,-0.01,0.0012,1.2742,0.3302,0.0606,0.0088,-0.0079,0
F3,A,44.3,88.7,19,1.2723,0.2406666667,-8.0E-4,-0.0207333333,-0.0051666667,0.116,0.23683,-0.0149666667,-8.333333E-4,0.9528,0.195333,0.0063666667,-0.021733,-0.01023,1.276633,0.3503,0.06073,-0.0012,-0.02093,1
F4,A,45.7,91.3,19,1.2837,0.254533,-0.0108,-0.033167,-0.01483,0.1156,0.243166667,-0.02653,-0.013366667,0.974,0.206766667,-0.003266667,-0.033466667,-0.021666667,1.279066667,0.3704,0.06087,-0.0112,-0.03397,1
F5,A,47.0,94.0,19,1.2951,0.2684,-0.0208,-0.0456,-0.0245,0.1152,0.2495,-0.0381,-0.0259,0.9952,0.2182,-0.0129,-0.0452,-0.0331,1.2815,0.3905,0.061,-0.0212,-0.047,0
F6,A,49.0,98.0,19,1.3584,0.282,-0.0406,-0.1031,-0.0904,0.103,0.2582,-0.0888,-0.0829,1.043,0.2306,-0.0259,-0.1015,-0.0963,1.3392,0.4074,0.0677,-0.0431,-0.1066,0
